SPREFID,USUBJID,OMEXCLFL,OMSTAT,OMREASND,OMTESTCD,OMTEST,OMSPEC,OMSTRES,OMSTRESU,OMDY,SEX,trial_set_description
T105000-6,T105000-6-0031,,,,WEIGHT,Weight,ADRENAL GLANDS,0.046,g,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,OWBW,Organ to Body Weight Ratio,ADRENAL GLANDS,0.01561,%,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,WEIGHT,Weight,SPLEEN,0.564,g,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.19136,%,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,WEIGHT,Weight,THYMUS,0.413,g,31,M,Dose group 3
T105000-6,T105000-6-0031,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.68334,%,31,M,Dose group 3
T105000-6,T105000-6-0049,,,,WEIGHT,Weight,BRAIN,1.952,g,30,F,Control
T105000-6,T105000-6-0049,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.18631,%,30,F,Control
T105000-6,T105000-6-0049,,,,WEIGHT,Weight,HEART,0.797,g,30,F,Control
T105000-6,T105000-6-0049,,,,OWBW,Organ to Body Weight Ratio,HEART,0.39387,%,30,F,Control
T105000-6,T105000-6-0049,,,,WEIGHT,Weight,LIVER,7.508,g,30,F,Control
T105000-6,T105000-6-0049,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.7104,%,30,F,Control
T105000-6,T105000-6-0049,,,,WEIGHT,Weight,KIDNEYS,1.473,g,30,F,Control
T105000-6,T105000-6-0049,,,,OWBW,Organ to Body Weight Ratio,KIDNEYS,0.72795,%,30,F,Control
T105000-6,T105000-6-0049,,,,WEIGHT,Weight,OVARIES,0.151,g,30,F,Control
T105000-6,T105000-6-0049,,,,OWBW,Organ to Body Weight Ratio,OVARIES,0.07462,%,30,F,Control
T105000-6,T105000-6-0049,,,,WEIGHT,Weight,UTERUS,0.487,g,30,F,Control
T105000-6,T105000-6-0049,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.24067,%,30,F,Control
T105000-6,T105000-6-0049,,,,WEIGHT,Weight,ADRENAL GLANDS,0.081,g,30,F,Control
T105000-6,T105000-6-0049,,,,OWBW,Organ to Body Weight Ratio,ADRENAL GLANDS,0.04003,%,30,F,Control
T105000-6,T105000-6-0049,,,,WEIGHT,Weight,SPLEEN,0.387,g,30,F,Control
T105000-6,T105000-6-0049,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.19125,%,30,F,Control
T105000-6,T105000-6-0049,,,,WEIGHT,Weight,THYMUS,0.377,g,30,F,Control
T105000-6,T105000-6-0049,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.96467,%,30,F,Control
T105000-6,T105000-6-0010,,,,WEIGHT,Weight,SPLEEN,0.68,g,29,M,Control
T105000-6,T105000-6-0010,,,,OWBW,Organ to Body Weight Ratio,ADRENAL GLANDS,0.02267,%,29,M,Control
T105000-6,T105000-6-0010,,,,WEIGHT,Weight,THYMUS,0.481,g,29,M,Control
T105000-6,T105000-6-0010,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.15802,%,29,M,Control
T105000-6,T105000-6-0010,,,,WEIGHT,Weight,BRAIN,2.07,g,29,M,Control
T105000-6,T105000-6-0010,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.68005,%,29,M,Control
T105000-6,T105000-6-0010,,,,WEIGHT,Weight,HEART,1.036,g,29,M,Control
T105000-6,T105000-6-0010,,,,OWBW,Organ to Body Weight Ratio,HEART,0.34035,%,29,M,Control
T105000-6,T105000-6-0010,,,,WEIGHT,Weight,LIVER,13.549,g,29,M,Control
T105000-6,T105000-6-0010,,,,OWBW,Organ to Body Weight Ratio,LIVER,4.4512,%,29,M,Control
T105000-6,T105000-6-0010,,,,WEIGHT,Weight,KIDNEYS,2.081,g,29,M,Control
T105000-6,T105000-6-0010,,,,OWBW,Organ to Body Weight Ratio,KIDNEYS,0.68366,%,29,M,Control
T105000-6,T105000-6-0010,,,,WEIGHT,Weight,TESTES,3.083,g,29,M,Control
T105000-6,T105000-6-0010,,,,OWBW,Organ to Body Weight Ratio,TESTES,1.0128,%,29,M,Control
T105000-6,T105000-6-0010,,,,WEIGHT,Weight,EPIDIDYMIDES,1.005,g,29,M,Control
T105000-6,T105000-6-0010,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIDES,0.33017,%,29,M,Control
T105000-6,T105000-6-0010,,,,WEIGHT,Weight,PROSTATE GLAND,0.582,g,29,M,Control
T105000-6,T105000-6-0010,,,,OWBW,Organ to Body Weight Ratio,PROSTATE GLAND,0.1912,%,29,M,Control
T105000-6,T105000-6-0010,,,,WEIGHT,Weight,SEMINAL VESICLES,0.943,g,29,M,Control
T105000-6,T105000-6-0010,,,,OWBW,Organ to Body Weight Ratio,SEMINAL VESICLES,0.3098,%,29,M,Control
T105000-6,T105000-6-0010,,,,WEIGHT,Weight,ADRENAL GLANDS,0.069,g,29,M,Control
T105000-6,T105000-6-0010,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.2234,%,29,M,Control
T105000-6,T105000-6-0035,,,,WEIGHT,Weight,SPLEEN,0.523,g,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,OWBW,Organ to Body Weight Ratio,ADRENAL GLANDS,0.01437,%,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,WEIGHT,Weight,THYMUS,0.199,g,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.07729,%,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,WEIGHT,Weight,BRAIN,1.928,g,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.74885,%,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,WEIGHT,Weight,HEART,0.827,g,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,OWBW,Organ to Body Weight Ratio,HEART,0.32121,%,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,WEIGHT,Weight,LIVER,9.926,g,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.8553,%,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,WEIGHT,Weight,KIDNEYS,2.065,g,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,OWBW,Organ to Body Weight Ratio,KIDNEYS,0.80206,%,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,WEIGHT,Weight,TESTES,3.22,g,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,OWBW,Organ to Body Weight Ratio,TESTES,1.2507,%,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,WEIGHT,Weight,EPIDIDYMIDES,0.993,g,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIDES,0.38569,%,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,WEIGHT,Weight,PROSTATE GLAND,0.478,g,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,OWBW,Organ to Body Weight Ratio,PROSTATE GLAND,0.18566,%,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,WEIGHT,Weight,SEMINAL VESICLES,1.108,g,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,OWBW,Organ to Body Weight Ratio,SEMINAL VESICLES,0.43035,%,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,WEIGHT,Weight,ADRENAL GLANDS,0.037,g,31,M,Dose group 3
T105000-6,T105000-6-0035,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.20314,%,31,M,Dose group 3
T105000-6,T105000-6-0055,,,,WEIGHT,Weight,UTERUS,0.815,g,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,OWBW,Organ to Body Weight Ratio,OVARIES,0.06237,%,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,WEIGHT,Weight,ADRENAL GLANDS,0.077,g,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,OWBW,Organ to Body Weight Ratio,ADRENAL GLANDS,0.03904,%,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,WEIGHT,Weight,SPLEEN,0.588,g,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.29815,%,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,WEIGHT,Weight,THYMUS,0.376,g,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.19065,%,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,WEIGHT,Weight,BRAIN,1.951,g,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.98926,%,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,WEIGHT,Weight,HEART,0.909,g,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,OWBW,Organ to Body Weight Ratio,HEART,0.46091,%,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,WEIGHT,Weight,LIVER,7.843,g,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.9768,%,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,WEIGHT,Weight,KIDNEYS,1.321,g,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,OWBW,Organ to Body Weight Ratio,KIDNEYS,0.66981,%,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,WEIGHT,Weight,OVARIES,0.123,g,30,F,Dose group 1
T105000-6,T105000-6-0055,,,,OWBW,Organ to Body Weight Ratio,UTERUS,0.41325,%,30,F,Dose group 1
T105000-6,T105000-6-0009,,,,WEIGHT,Weight,ADRENAL GLANDS,0.059,g,29,M,Control
T105000-6,T105000-6-0009,,,,OWBW,Organ to Body Weight Ratio,SEMINAL VESICLES,0.42437,%,29,M,Control
T105000-6,T105000-6-0009,,,,WEIGHT,Weight,SPLEEN,0.502,g,29,M,Control
T105000-6,T105000-6-0009,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.18573,%,29,M,Control
T105000-6,T105000-6-0009,,,,WEIGHT,Weight,THYMUS,0.389,g,29,M,Control
T105000-6,T105000-6-0009,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.14392,%,29,M,Control
T105000-6,T105000-6-0009,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.72554,%,29,M,Control
T105000-6,T105000-6-0009,,,,WEIGHT,Weight,HEART,0.86,g,29,M,Control
T105000-6,T105000-6-0009,,,,OWBW,Organ to Body Weight Ratio,HEART,0.31819,%,29,M,Control
T105000-6,T105000-6-0009,,,,WEIGHT,Weight,LIVER,10.514,g,29,M,Control
T105000-6,T105000-6-0009,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.89,%,29,M,Control
T105000-6,T105000-6-0009,,,,WEIGHT,Weight,KIDNEYS,2.801,g,29,M,Control
T105000-6,T105000-6-0009,,,,OWBW,Organ to Body Weight Ratio,KIDNEYS,1.0363,%,29,M,Control
T105000-6,T105000-6-0009,,,,WEIGHT,Weight,TESTES,2.981,g,29,M,Control
T105000-6,T105000-6-0009,,,,OWBW,Organ to Body Weight Ratio,TESTES,1.1029,%,29,M,Control
T105000-6,T105000-6-0009,,,,WEIGHT,Weight,EPIDIDYMIDES,1.091,g,29,M,Control
T105000-6,T105000-6-0009,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIDES,0.40366,%,29,M,Control
T105000-6,T105000-6-0009,,,,WEIGHT,Weight,PROSTATE GLAND,0.567,g,29,M,Control
T105000-6,T105000-6-0009,,,,OWBW,Organ to Body Weight Ratio,PROSTATE GLAND,0.20978,%,29,M,Control
T105000-6,T105000-6-0009,,,,WEIGHT,Weight,SEMINAL VESICLES,1.147,g,29,M,Control
T105000-6,T105000-6-0009,,,,OWBW,Organ to Body Weight Ratio,ADRENAL GLANDS,0.02183,%,29,M,Control
T105000-6,T105000-6-0009,,,,WEIGHT,Weight,BRAIN,1.961,g,29,M,Control
T105000-6,T105000-6-0019,,,,OWBW,Organ to Body Weight Ratio,PROSTATE GLAND,0.25315,%,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,WEIGHT,Weight,SEMINAL VESICLES,1.241,g,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,OWBW,Organ to Body Weight Ratio,SEMINAL VESICLES,0.40906,%,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,WEIGHT,Weight,ADRENAL GLANDS,0.079,g,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,OWBW,Organ to Body Weight Ratio,ADRENAL GLANDS,0.02604,%,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,WEIGHT,Weight,SPLEEN,0.589,g,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.19415,%,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,WEIGHT,Weight,THYMUS,0.341,g,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.67903,%,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,WEIGHT,Weight,PROSTATE GLAND,0.768,g,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,WEIGHT,Weight,BRAIN,2.06,g,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.1124,%,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,WEIGHT,Weight,HEART,0.918,g,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,OWBW,Organ to Body Weight Ratio,HEART,0.30259,%,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,WEIGHT,Weight,LIVER,12.972,g,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,OWBW,Organ to Body Weight Ratio,LIVER,4.2759,%,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,WEIGHT,Weight,KIDNEYS,2.212,g,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,OWBW,Organ to Body Weight Ratio,KIDNEYS,0.72913,%,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,WEIGHT,Weight,TESTES,3.037,g,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,OWBW,Organ to Body Weight Ratio,TESTES,1.0011,%,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,WEIGHT,Weight,EPIDIDYMIDES,0.965,g,29,M,Dose group 1
T105000-6,T105000-6-0019,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIDES,0.31809,%,29,M,Dose group 1
T105000-6,T105000-6-0030,,,,WEIGHT,Weight,BRAIN,2.092,g,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.18841,%,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,WEIGHT,Weight,HEART,0.905,g,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,OWBW,Organ to Body Weight Ratio,HEART,0.3002,%,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,WEIGHT,Weight,LIVER,11.664,g,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,OWBW,Organ to Body Weight Ratio,LIVER,3.8691,%,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,WEIGHT,Weight,KIDNEYS,3,g,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,OWBW,Organ to Body Weight Ratio,KIDNEYS,0.99513,%,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,WEIGHT,Weight,TESTES,3.23,g,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,OWBW,Organ to Body Weight Ratio,TESTES,1.0714,%,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,WEIGHT,Weight,EPIDIDYMIDES,1.102,g,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIDES,0.36554,%,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,WEIGHT,Weight,PROSTATE GLAND,0.494,g,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,OWBW,Organ to Body Weight Ratio,PROSTATE GLAND,0.16386,%,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,WEIGHT,Weight,SEMINAL VESICLES,1.292,g,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,OWBW,Organ to Body Weight Ratio,SEMINAL VESICLES,0.42857,%,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,WEIGHT,Weight,ADRENAL GLANDS,0.068,g,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,OWBW,Organ to Body Weight Ratio,ADRENAL GLANDS,0.02256,%,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,WEIGHT,Weight,SPLEEN,0.548,g,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.18178,%,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,WEIGHT,Weight,THYMUS,0.568,g,31,M,Dose group 2
T105000-6,T105000-6-0030,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.69394,%,31,M,Dose group 2
T105000-6,T105000-6-0012,,,,WEIGHT,Weight,BRAIN,2.042,g,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.12667,%,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,WEIGHT,Weight,HEART,0.906,g,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,OWBW,Organ to Body Weight Ratio,HEART,0.33074,%,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,WEIGHT,Weight,LIVER,11.5,g,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,OWBW,Organ to Body Weight Ratio,LIVER,4.1981,%,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,WEIGHT,Weight,KIDNEYS,2.127,g,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,OWBW,Organ to Body Weight Ratio,KIDNEYS,0.77646,%,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,WEIGHT,Weight,TESTES,2.898,g,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,OWBW,Organ to Body Weight Ratio,TESTES,1.0579,%,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,WEIGHT,Weight,EPIDIDYMIDES,0.987,g,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIDES,0.3603,%,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,WEIGHT,Weight,PROSTATE GLAND,0.643,g,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,OWBW,Organ to Body Weight Ratio,PROSTATE GLAND,0.23473,%,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,WEIGHT,Weight,SEMINAL VESICLES,1.069,g,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,OWBW,Organ to Body Weight Ratio,SEMINAL VESICLES,0.39024,%,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,WEIGHT,Weight,ADRENAL GLANDS,0.073,g,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,OWBW,Organ to Body Weight Ratio,ADRENAL GLANDS,0.02665,%,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,WEIGHT,Weight,SPLEEN,0.605,g,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.22086,%,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,WEIGHT,Weight,THYMUS,0.347,g,29,M,Dose group 1
T105000-6,T105000-6-0012,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.74543,%,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,WEIGHT,Weight,BRAIN,1.973,g,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.70536,%,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,WEIGHT,Weight,HEART,0.962,g,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,OWBW,Organ to Body Weight Ratio,HEART,0.34392,%,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,WEIGHT,Weight,LIVER,12.513,g,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,OWBW,Organ to Body Weight Ratio,LIVER,4.4734,%,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,WEIGHT,Weight,KIDNEYS,2.095,g,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,OWBW,Organ to Body Weight Ratio,KIDNEYS,0.74897,%,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,WEIGHT,Weight,TESTES,2.878,g,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,OWBW,Organ to Body Weight Ratio,TESTES,1.0289,%,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,WEIGHT,Weight,EPIDIDYMIDES,1.137,g,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIDES,0.40648,%,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,WEIGHT,Weight,PROSTATE GLAND,0.981,g,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,OWBW,Organ to Body Weight Ratio,PROSTATE GLAND,0.35071,%,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,WEIGHT,Weight,SEMINAL VESICLES,1.124,g,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,OWBW,Organ to Body Weight Ratio,SEMINAL VESICLES,0.40183,%,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,WEIGHT,Weight,ADRENAL GLANDS,0.07,g,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,OWBW,Organ to Body Weight Ratio,ADRENAL GLANDS,0.02503,%,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,WEIGHT,Weight,SPLEEN,0.543,g,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.19412,%,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,WEIGHT,Weight,THYMUS,0.496,g,29,M,Dose group 1
T105000-6,T105000-6-0014,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.17732,%,29,M,Dose group 1
T105000-6,T105000-6-0025,,,,WEIGHT,Weight,SPLEEN,0.662,g,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,OWBW,Organ to Body Weight Ratio,ADRENAL GLANDS,0.02545,%,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,WEIGHT,Weight,THYMUS,0.496,g,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.17779,%,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,WEIGHT,Weight,BRAIN,2.039,g,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,OWBW,Organ to Body Weight Ratio,BRAIN,0.73089,%,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,WEIGHT,Weight,HEART,0.914,g,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,OWBW,Organ to Body Weight Ratio,HEART,0.32763,%,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,WEIGHT,Weight,LIVER,12.887,g,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,OWBW,Organ to Body Weight Ratio,LIVER,4.6194,%,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,WEIGHT,Weight,KIDNEYS,2.136,g,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,OWBW,Organ to Body Weight Ratio,KIDNEYS,0.76566,%,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,WEIGHT,Weight,TESTES,2.622,g,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,OWBW,Organ to Body Weight Ratio,TESTES,0.93987,%,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,WEIGHT,Weight,EPIDIDYMIDES,1.179,g,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,OWBW,Organ to Body Weight Ratio,EPIDIDYMIDES,0.42262,%,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,WEIGHT,Weight,PROSTATE GLAND,0.949,g,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,OWBW,Organ to Body Weight Ratio,PROSTATE GLAND,0.34017,%,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,WEIGHT,Weight,SEMINAL VESICLES,0.925,g,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,OWBW,Organ to Body Weight Ratio,SEMINAL VESICLES,0.33157,%,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,WEIGHT,Weight,ADRENAL GLANDS,0.071,g,29,M,Dose group 2
T105000-6,T105000-6-0025,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.2373,%,29,M,Dose group 2
T105000-6,T105000-6-0048,,,,WEIGHT,Weight,UTERUS,0.952,g,30,F,Control
T105000-6,T105000-6-0048,,,,OWBW,Organ to Body Weight Ratio,OVARIES,0.09623,%,30,F,Control
T105000-6,T105000-6-0048,,,,WEIGHT,Weight,ADRENAL GLANDS,0.094,g,30,F,Control
T105000-6,T105000-6-0048,,,,OWBW,Organ to Body Weight Ratio,ADRENAL GLANDS,0.04456,%,30,F,Control
T105000-6,T105000-6-0048,,,,WEIGHT,Weight,SPLEEN,0.501,g,30,F,Control
T105000-6,T105000-6-0048,,,,OWBW,Organ to Body Weight Ratio,SPLEEN,0.23749,%,30,F,Control
T105000-6,T105000-6-0048,,,,WEIGHT,Weight,THYMUS,0.387,g,30,F,Control
T105000-6,T105000-6-0048,,,,OWBW,Organ to Body Weight Ratio,THYMUS,0.18345,%,30,F,Control
