"","USUBJID","SPREFID","DOSDUR","ROUTE","LBTESTCD","LBCAT","LBORRES","LBORRESU","LBDY","LBMETHOD","LBSPEC","SEX","INITBW","SPECIES","STRAIN","TRTV","START_YEAR","AGE","AGEU","anesthetics"
"24","Study-01-0004","Study-01","4 week","ORAL","RBC","HEMATOLOGY",8.17,"T/l",33,"iBroker:ERY","PLASMA","M",173,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"25","Study-01-0004","Study-01","4 week","ORAL","BW_D14","",252,"g",14,"","","M",173,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"26","Study-01-0004","Study-01","4 week","ORAL","K","CLINICAL CHEMISTRY",5.2,"mmol/l",33,"iBroker:K","SERUM","M",173,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"27","Study-01-0004","Study-01","4 week","ORAL","BW_D28","",305,"g",28,"","","M",173,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"28","Study-01-0004","Study-01","4 week","ORAL","BW_D1","",173,"g",1,"","","M",173,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"29","Study-01-0005","Study-01","4 week","ORAL","RBC","HEMATOLOGY",7.97,"T/l",33,"iBroker:ERY","PLASMA","M",176,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"30","Study-01-0005","Study-01","4 week","ORAL","BW_D1","",176,"g",1,"","","M",176,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"31","Study-01-0005","Study-01","4 week","ORAL","BW_D14","",260,"g",14,"","","M",176,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"32","Study-01-0005","Study-01","4 week","ORAL","CA","CLINICAL CHEMISTRY",2.92,"mmol/l",33,"iBroker:Ca","SERUM","M",176,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"33","Study-01-0005","Study-01","4 week","ORAL","BW_D28","",318,"g",28,"","","M",176,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"34","Study-01-0005","Study-01","4 week","ORAL","SODIUM","CLINICAL CHEMISTRY",145,"mmol/l",33,"iBroker:Na","SERUM","M",176,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"35","Study-01-0005","Study-01","4 week","ORAL","K","CLINICAL CHEMISTRY",5.1,"mmol/l",33,"iBroker:K","SERUM","M",176,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"36","Study-01-0006","Study-01","4 week","ORAL","BW_D14","",229,"g",14,"","","M",163,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"37","Study-01-0006","Study-01","4 week","ORAL","RBC","HEMATOLOGY",8.12,"T/l",33,"iBroker:ERY","PLASMA","M",163,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"38","Study-01-0006","Study-01","4 week","ORAL","SODIUM","CLINICAL CHEMISTRY",145,"mmol/l",33,"iBroker:Na","SERUM","M",163,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"39","Study-01-0006","Study-01","4 week","ORAL","BW_D28","",276,"g",28,"","","M",163,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"40","Study-01-0006","Study-01","4 week","ORAL","CA","CLINICAL CHEMISTRY",2.91,"mmol/l",33,"iBroker:Ca","SERUM","M",163,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"41","Study-01-0006","Study-01","4 week","ORAL","BW_D1","",163,"g",1,"","","M",163,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"42","Study-01-0006","Study-01","4 week","ORAL","K","CLINICAL CHEMISTRY",5.9,"mmol/l",33,"iBroker:K","SERUM","M",163,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"43","Study-01-0007","Study-01","4 week","ORAL","RBC","HEMATOLOGY",8.22,"T/l",33,"iBroker:ERY","PLASMA","M",190,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"44","Study-01-0007","Study-01","4 week","ORAL","BW_D28","",326,"g",28,"","","M",190,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"45","Study-01-0007","Study-01","4 week","ORAL","SODIUM","CLINICAL CHEMISTRY",144,"mmol/l",33,"iBroker:Na","SERUM","M",190,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"46","Study-01-0007","Study-01","4 week","ORAL","BW_D1","",190,"g",1,"","","M",190,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"47","Study-01-0007","Study-01","4 week","ORAL","BW_D14","",270,"g",14,"","","M",190,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"48","Study-01-0007","Study-01","4 week","ORAL","CA","CLINICAL CHEMISTRY",2.87,"mmol/l",33,"iBroker:Ca","SERUM","M",190,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"49","Study-01-0007","Study-01","4 week","ORAL","K","CLINICAL CHEMISTRY",5.7,"mmol/l",33,"iBroker:K","SERUM","M",190,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"50","Study-01-0008","Study-01","4 week","ORAL","CA","CLINICAL CHEMISTRY",2.99,"mmol/l",33,"iBroker:Ca","SERUM","M",171,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"51","Study-01-0008","Study-01","4 week","ORAL","RBC","HEMATOLOGY",8.68,"T/l",33,"iBroker:ERY","PLASMA","M",171,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"52","Study-01-0008","Study-01","4 week","ORAL","SODIUM","CLINICAL CHEMISTRY",145,"mmol/l",33,"iBroker:Na","SERUM","M",171,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"53","Study-01-0008","Study-01","4 week","ORAL","BW_D1","",171,"g",1,"","","M",171,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"54","Study-01-0008","Study-01","4 week","ORAL","K","CLINICAL CHEMISTRY",5.9,"mmol/l",33,"iBroker:K","SERUM","M",171,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"55","Study-01-0008","Study-01","4 week","ORAL","BW_D28","",302,"g",28,"","","M",171,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"56","Study-01-0008","Study-01","4 week","ORAL","BW_D14","",253,"g",14,"","","M",171,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"57","Study-01-0009","Study-01","4 week","ORAL","RBC","HEMATOLOGY",8.98,"T/l",33,"iBroker:ERY","PLASMA","M",175,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"58","Study-01-0009","Study-01","4 week","ORAL","BW_D28","",282,"g",28,"","","M",175,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"59","Study-01-0009","Study-01","4 week","ORAL","CA","CLINICAL CHEMISTRY",2.79,"mmol/l",33,"iBroker:Ca","SERUM","M",175,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"60","Study-01-0009","Study-01","4 week","ORAL","K","CLINICAL CHEMISTRY",5.8,"mmol/l",33,"iBroker:K","SERUM","M",175,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"61","Study-01-0009","Study-01","4 week","ORAL","BW_D14","",252,"g",14,"","","M",175,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"62","Study-01-0009","Study-01","4 week","ORAL","BW_D1","",175,"g",1,"","","M",175,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"63","Study-01-0009","Study-01","4 week","ORAL","SODIUM","CLINICAL CHEMISTRY",146,"mmol/l",33,"iBroker:Na","SERUM","M",175,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"64","Study-01-0010","Study-01","4 week","ORAL","BW_D14","",248,"g",14,"","","M",164,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"65","Study-01-0010","Study-01","4 week","ORAL","BW_D1","",164,"g",1,"","","M",164,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"66","Study-01-0010","Study-01","4 week","ORAL","BW_D28","",297,"g",28,"","","M",164,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"67","Study-01-0010","Study-01","4 week","ORAL","RBC","HEMATOLOGY",8.87,"T/l",33,"iBroker:ERY","PLASMA","M",164,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"68","Study-01-0010","Study-01","4 week","ORAL","K","CLINICAL CHEMISTRY",6.3,"mmol/l",33,"iBroker:K","SERUM","M",164,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"69","Study-01-0010","Study-01","4 week","ORAL","SODIUM","CLINICAL CHEMISTRY",147,"mmol/l",33,"iBroker:Na","SERUM","M",164,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"70","Study-01-0010","Study-01","4 week","ORAL","CA","CLINICAL CHEMISTRY",3.06,"mmol/l",33,"iBroker:Ca","SERUM","M",164,"RAT","WISTAR HAN","ETOH/Sol H15/Water (1/4/5)",2012,7,"weeks","CO2/air"
"71","Study-02-0001","Study-02","13 week","ORAL GAVAGE","BW_D28","",279,"g",28,"","","M",168,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"72","Study-02-0001","Study-02","13 week","ORAL GAVAGE","BW_D1","",168,"g",1,"","","M",168,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"73","Study-02-0001","Study-02","13 week","ORAL GAVAGE","K","CLINICAL CHEMISTRY",5.5,"mmol/l",22,"iBroker:K","SERUM","M",168,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"74","Study-02-0001","Study-02","13 week","ORAL GAVAGE","RBC","HEMATOLOGY",8.69,"T/l",22,"iBroker:ERY","PLASMA","M",168,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"75","Study-02-0001","Study-02","13 week","ORAL GAVAGE","BW_D14","",232,"g",14,"","","M",168,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"76","Study-02-0001","Study-02","13 week","ORAL GAVAGE","SODIUM","CLINICAL CHEMISTRY",146,"mmol/l",22,"iBroker:Na","SERUM","M",168,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"77","Study-02-0001","Study-02","13 week","ORAL GAVAGE","CA","CLINICAL CHEMISTRY",2.78,"mmol/l",22,"iBroker:Ca","SERUM","M",168,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"78","Study-02-0002","Study-02","13 week","ORAL GAVAGE","RBC","HEMATOLOGY",9.35,"T/l",22,"iBroker:ERY","PLASMA","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"79","Study-02-0002","Study-02","13 week","ORAL GAVAGE","BW_D28","",318,"g",28,"","","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"80","Study-02-0002","Study-02","13 week","ORAL GAVAGE","BW_D1","",187,"g",1,"","","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"81","Study-02-0002","Study-02","13 week","ORAL GAVAGE","BW_D14","",268,"g",14,"","","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"82","Study-02-0002","Study-02","13 week","ORAL GAVAGE","K","CLINICAL CHEMISTRY",5.8,"mmol/l",22,"iBroker:K","SERUM","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"83","Study-02-0002","Study-02","13 week","ORAL GAVAGE","SODIUM","CLINICAL CHEMISTRY",147,"mmol/l",22,"iBroker:Na","SERUM","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"84","Study-02-0002","Study-02","13 week","ORAL GAVAGE","CA","CLINICAL CHEMISTRY",2.96,"mmol/l",22,"iBroker:Ca","SERUM","M",187,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"85","Study-02-0003","Study-02","13 week","ORAL GAVAGE","SODIUM","CLINICAL CHEMISTRY",146,"mmol/l",22,"iBroker:Na","SERUM","M",178,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"86","Study-02-0003","Study-02","13 week","ORAL GAVAGE","K","CLINICAL CHEMISTRY",6.9,"mmol/l",22,"iBroker:K","SERUM","M",178,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"87","Study-02-0003","Study-02","13 week","ORAL GAVAGE","RBC","HEMATOLOGY",8.3,"T/l",22,"iBroker:ERY","PLASMA","M",178,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"88","Study-02-0003","Study-02","13 week","ORAL GAVAGE","CA","CLINICAL CHEMISTRY",2.92,"mmol/l",22,"iBroker:Ca","SERUM","M",178,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"89","Study-02-0003","Study-02","13 week","ORAL GAVAGE","BW_D28","",315,"g",28,"","","M",178,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"90","Study-02-0003","Study-02","13 week","ORAL GAVAGE","BW_D1","",178,"g",1,"","","M",178,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"91","Study-02-0003","Study-02","13 week","ORAL GAVAGE","BW_D14","",259,"g",14,"","","M",178,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"92","Study-02-0004","Study-02","13 week","ORAL GAVAGE","BW_D28","",304,"g",28,"","","M",167,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"93","Study-02-0004","Study-02","13 week","ORAL GAVAGE","BW_D1","",167,"g",1,"","","M",167,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"94","Study-02-0004","Study-02","13 week","ORAL GAVAGE","RBC","HEMATOLOGY",8.17,"T/l",22,"iBroker:ERY","PLASMA","M",167,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"95","Study-02-0004","Study-02","13 week","ORAL GAVAGE","K","CLINICAL CHEMISTRY",6.1,"mmol/l",22,"iBroker:K","SERUM","M",167,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"96","Study-02-0004","Study-02","13 week","ORAL GAVAGE","CA","CLINICAL CHEMISTRY",2.95,"mmol/l",22,"iBroker:Ca","SERUM","M",167,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"97","Study-02-0004","Study-02","13 week","ORAL GAVAGE","SODIUM","CLINICAL CHEMISTRY",147,"mmol/l",22,"iBroker:Na","SERUM","M",167,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"98","Study-02-0004","Study-02","13 week","ORAL GAVAGE","BW_D14","",241,"g",14,"","","M",167,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"99","Study-02-0005","Study-02","13 week","ORAL GAVAGE","CA","CLINICAL CHEMISTRY",3.01,"mmol/l",22,"iBroker:Ca","SERUM","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"100","Study-02-0005","Study-02","13 week","ORAL GAVAGE","RBC","HEMATOLOGY",7.95,"T/l",22,"iBroker:ERY","PLASMA","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"101","Study-02-0005","Study-02","13 week","ORAL GAVAGE","BW_D14","",272,"g",14,"","","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"102","Study-02-0005","Study-02","13 week","ORAL GAVAGE","BW_D28","",327,"g",28,"","","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"103","Study-02-0005","Study-02","13 week","ORAL GAVAGE","K","CLINICAL CHEMISTRY",6.4,"mmol/l",22,"iBroker:K","SERUM","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"104","Study-02-0005","Study-02","13 week","ORAL GAVAGE","SODIUM","CLINICAL CHEMISTRY",147,"mmol/l",22,"iBroker:Na","SERUM","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"105","Study-02-0005","Study-02","13 week","ORAL GAVAGE","BW_D1","",186,"g",1,"","","M",186,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"106","Study-02-0006","Study-02","13 week","ORAL GAVAGE","CA","CLINICAL CHEMISTRY",2.96,"mmol/l",22,"iBroker:Ca","SERUM","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"107","Study-02-0006","Study-02","13 week","ORAL GAVAGE","RBC","HEMATOLOGY",7.43,"T/l",22,"iBroker:ERY","PLASMA","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"108","Study-02-0006","Study-02","13 week","ORAL GAVAGE","BW_D28","",308,"g",28,"","","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"109","Study-02-0006","Study-02","13 week","ORAL GAVAGE","SODIUM","CLINICAL CHEMISTRY",147,"mmol/l",22,"iBroker:Na","SERUM","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"110","Study-02-0006","Study-02","13 week","ORAL GAVAGE","BW_D14","",257,"g",14,"","","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"111","Study-02-0006","Study-02","13 week","ORAL GAVAGE","BW_D1","",181,"g",1,"","","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"112","Study-02-0006","Study-02","13 week","ORAL GAVAGE","K","CLINICAL CHEMISTRY",6.2,"mmol/l",22,"iBroker:K","SERUM","M",181,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"113","Study-02-0007","Study-02","13 week","ORAL GAVAGE","RBC","HEMATOLOGY",8.13,"T/l",22,"iBroker:ERY","PLASMA","M",183,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"114","Study-02-0007","Study-02","13 week","ORAL GAVAGE","BW_D1","",183,"g",1,"","","M",183,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
"115","Study-02-0007","Study-02","13 week","ORAL GAVAGE","SODIUM","CLINICAL CHEMISTRY",147,"mmol/l",22,"iBroker:Na","SERUM","M",183,"RAT","WISTAR HAN","Ethanol/Kolliphor HS 15/Tap Water 1:4:5",2013,8,"weeks","CO2/air"
