SEDTS_ID,DOSDUR,EXPSTDTC,GLPFL,GLPTYP,HOUSEGRP,ROUTE,SEXPOP,SNDCTVER,SNDIGVER,SPECIES,SPLANSUB,SPLRLOC,SPLRNAM,SPREFID,SSPONSOR,SSTYP,STCAT,STRAIN,STSTYP,TRMSAC,TRTV,TSTFLOC,DOSENDTC,DOSSTDTC,PDOSFRQ,SBSTRAIN,PLANFSUB,PLANMSUB,TOTANPCH,START_YEAR,MTHTRM
140,273,2017-09-07,,"c(""MHRA"", ""OECD"")",GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2019-03-29,SEND IMPLEMENTATION GUIDE VERSION 3.0,DOG,,"Grimston, UK",MARSHALL,T103555-9,Bayer AG,REPEAT DOSE,TOX,BEAGLE,NULL,P40W,PEG400,"Otley Road, Harrogate, North Yorkshire HG3 1PY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,BARBITURATE OVERDOSE INTRAVENOUS
142,,2015-01-20,N,N,GROUP HOUSED,ORAL GAVAGE,M,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,RAT,12,"AD Horst,Netherland",HARLAN,T101911-3,Bayer AG,SINGLE DOSE,TOX,WISTAR HAN,orally by gavage,P4D,PEG400,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2015,
152,14,2014-05-26,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,DOG,8,"Lyon Cedex 02,France",MARSHALL,T101428-6,Bayer AG,SUBACUTE,Subacute,BEAGLE,Oral by Gavage,P15D,PEG400,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014,
154,14,2019-07-09,N,N,GROUP HOUSED,ORAL GAVAGE,M,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,RAT,12,"Sulzfeld,Germany",CHARLES RIVER,T104404-3,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,Oral by Gavage,"c(""P10D"", ""P15D"")",ETHANOL/KOLLIPHORHS15/WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
155,91,2018-07-03,Y,Y,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,150,"Sulzfeld,Germany",CHARLES RIVER,T104039-7,Bayer AG,SUBCHRONIC,Subchronic,WISTAR HAN,Oral by Gavage,P93D,ETHANOL/KOLLIPHORHS15/WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
191,28,2016-02-23,Y,Y,SINGLE HOUSED,INHALATION,BOTH,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,RAT,89,"Sulzfeld,Germany",CHARLES RIVER,T102471-5,Bayer AG,INHALATION,Inhalation,WISTAR WU,Subacute,,PEG400,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
201,,2019-07-01,N,N,SINGLE HOUSED,,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,20,"AD Horst,Netherland",HARLAN,AM1_Patho,Bayer AG,SUBACUTE,Subacute,WISTAR,Oral,P21D,AQUADEMINERALE,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
202,14,2018-01-23,Y,Y,GROUP HOUSED,INHALATION,BOTH,"c(""SEND Terminology 2019-03-29"", ""SEND Terminology 2020-05-08"")",SEND Implementation Guide Version 3.0,RAT,134,"AD Horst,Netherland",HARLAN,T103728-1,Bayer AG,SUBACUTE,Subacute,WISTAR WU,Inhalation,P1D,AIR,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
213,28,2018-06-26,Y,Y,GROUP HOUSED,"c(""i.v."", ""Orally by gavage"")",BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,MONKEY,36,,COVANCE,T104037-5,Bayer AG,SUBACUTE,Subacute,CYNOMOLGUS,Oral by Gavage,P29D,ETHANOL/KOLLIPHORHS15/WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
215,91,2017-08-28,Y,Y,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,DOG,42,"Lyon Cedex 02,France",MARSHALL,T103563-8,Bayer AG,SUBCHRONIC,Subchronic,BEAGLE,Oral by Gavage,P92D,PEG400,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2017,
216,98,2009-12-14,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,178,"AD Horst,Netherland",HARLAN,T1081417,Bayer AG,SUBCHRONIC,Subchronic,WISTAR WU,Oral by Gavage,"c(""P1D"", ""P96D"")",TYLOSE,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2009,
217,28,2010-07-29,N,N,GROUP HOUSED,ORAL GAVAGE,F,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,36,"AD Horst,Netherland",HARLAN,T8081982,Bayer AG,SUBACUTE,Subacute,WISTAR WU,Oral by Gavage,P1D,TYLOSE,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2010,
218,91,2011-01-24,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,178,"AD Horst,Netherland",HARLAN,T2082309,Bayer AG,SUBCHRONIC,Subchronic,WISTAR WU,Oral by Gavage,"c(""P1D"", ""P93D"")",TYLOSE,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2011,
219,21,2012-04-18,N,N,GROUP HOUSED,ORAL GAVAGE,F,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,25,"AD Horst,Netherland",HARLAN,T0083522,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,Oral by Gavage,P17D,WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012,
220,21,2012-07-06,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,312,"AD Horst,Netherland",HARLAN,T8084006,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,Oral by Gavage,"c(""P1D"", ""P22D"")",WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012,
223,23,2009-09-14,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,"c(""SEND Terminology 2017-12-22"", ""SEND Terminology 2020-05-08"")",SEND Implementation Guide Version 3.0,RAT,246,"AD Horst,Netherland",HARLAN,T8080929,Bayer AG,SUBACUTE,Subacute,WISTAR WU,Oral by Gavage,"c(""P1D"", ""P24D"")",TYLOSE,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2009,
226,14,2014-02-25,N,N,GROUP HOUSED,ORAL GAVAGE,F,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,65,"AD Horst,Netherland",HARLAN,T101251-0,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,Oral by Gavage,P16D,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014,
228,1,2014-07-10,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,DOG,4,"Lyon Cedex 02,France",MARSHALL,T101528-7,Bayer AG,SINGLE DOSE,Single Dose,BEAGLE,orally by gavage,,PEG400,Development DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014,
229,28,2014-10-27,Y,Y,SINGLE HOUSED,ORAL GAVAGE,BOTH,"c(""SEND Terminology 2017-12-22"", ""SEND Terminology 2020-05-08"")",SEND Implementation Guide Version 3.0,DOG,28,"Lyon Cedex 02,France",MARSHALL,T101682-8,Bayer AG,SUBACUTE,Subacute,BEAGLE,Oral by Gavage,P29D,PEG400,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014,
230,28,2014-11-04,N,N,GROUP HOUSED,ORAL,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,134,"AD Horst,Netherland",HARLAN,T101767-2,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,Oral by Gavage,"c(""P23D"", ""P31D"")",ETHANOL/KOLLIPHORHS15/WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014,
231,14,2016-05-02,N,N,GROUP HOUSED,ORAL GAVAGE,M,"c(""SEND Terminology 2017-12-22"", ""SEND Terminology 2020-05-08"")",SEND Implementation Guide Version 3.0,RAT,44,"Sulzfeld,Germany",CHARLES RIVER,T102754-9,Bayer AG,SUBCHRONIC,Subchronic,WISTAR HAN,Oral by Gavage,P15D,PEG400,Development DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
232,1,2016-06-03,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,"c(""SEND Terminology 2019-03-29"", ""SEND Terminology 2020-05-08"")",SEND Implementation Guide Version 3.0,DOG,6,"Lyon Cedex 02,France",MARSHALL,T102807-8,Bayer AG,SUBACUTE,Subacute,BEAGLE,Oral by Gavage,,PEG400,Development DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
233,1,2016-07-22,N,N,SINGLE HOUSED,ORAL GAVAGE,F,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,MONKEY,4,,COVANCE,T102889-8,Bayer AG,SINGLE DOSE,Single Dose,CYNOMOLGUS,Oral by Gavage,,PEG400,Development DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
234,14,2016-08-17,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,MONKEY,8,,COVANCE,T102912-5,Bayer AG,SUBCHRONIC,Subchronic,CYNOMOLGUS,Oral by Gavage,P15D,PEG400,Development DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
235,,2016-12-01,N,N,SINGLE HOUSED,"c(""ORAL GAVAGE"", ""Orally by gavage"")",M,"c(""SEND Terminology 2017-12-22"", ""SEND Terminology 2020-05-08"")",SEND Implementation Guide Version 3.0,"C(""MOUSE"", ""MOUSE"")",49,"Sulzfeld,Germany",CHARLES RIVER,T103164-5,Bayer AG,SUBACUTE,Subacute,"CD1 (outbred), Crl:CD1(Icr)",Oral by Gavage,"c(""P14D"", ""P15D"")",PEG400,"c(""Berlin, Germany"", ""Development DB"")",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2016,
251,14,2013-08-13,Y,Y,GROUP HOUSED,DIETARY,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,140,"AD Horst,Netherland",HARLAN,T100916-7,Bayer AG,SUBCHRONIC,Subchronic,WISTAR HAN,Oral via Diet,"c(""P66D"", ""P93D"")",SSNIFFR/M-HALTUNG.MEHL,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2013,
252,,2013-07-25,N,N,GROUP HOUSED,DIETARY,M,SEND Terminology 2018-12-21,SEND Implementation Guide Version 3.0,RAT,30,"Borchen,Germany",HARLAN WINKELMANN,T100902-2,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,Oral,P30D,SSNIFFR/M-HALTUNG.MEHL,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2013,
253,91,2013-08-20,Y,Y,SINGLE HOUSED,DIETARY,BOTH,"c(""SEND Terminology 2017-12-22"", ""SEND Terminology 2020-05-08"")",SEND Implementation Guide Version 3.0,MOUSE,200,"Sulzfeld,Germany",CHARLES RIVER,T100890-8,Bayer AG,SUBCHRONIC,Subchronic,"CD1 (outbred), Crl:CD1(Icr)",Oral via Diet,"c(""P78D"", ""P93D"")",SSNIFFR/M-HALTUNG.MEHL,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2013,
254,14,2013-11-01,N,N,SINGLE HOUSED,s.c.,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RABBIT,16,"Sulzfeld,Germany",CHARLES RIVER,T101058-5,Bayer AG,SINGLE DOSE,Single Dose,"New Zealand, Esd:NZW",s.c. injection,P15D,0.9% SALINE SOLUTION,Development DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2013,
255,,2012-03-21,Y,Y,SINGLE HOUSED,conjunctival,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,MONKEY,30,"CD Tilburg,Netherlands",R.C. HARTELUST B.V.,TOXT3082977,Bayer AG,SUBCHRONIC,Subchronic,CYNOMOLGUS,Conjunctival,P30D,0.9% SALINE SOLUTION,Development DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2012,
256,14,2014-05-16,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,36,"AD Horst,Netherland",HARLAN,T101433-2,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,Oral by Gavage,P16D,ETHANOL/KOLLIPHORHS15/WATER (10/40/50),Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014,
271,7,2018-04-27,Y,Y,GROUP HOUSED,INTRAVENOUS BOLUS,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,152,"Sulzfeld,Germany",CHARLES RIVER,T103931-7,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,i.v. Short injection,"c(""P10D"", ""P8D"")",ETHANOL/KOLLIPHORHS15/WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
272,,2019-08-26,N,N,GROUP HOUSED,,M,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,10,"Sulzfeld,Germany",CHARLES RIVER,Test Schnittstelle I,Bayer AG,clinical pathology,Clinical Pathology,WISTAR HAN,CP,,,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
284,,2018-02-22,N,N,SINGLE HOUSED,ORAL GAVAGE,F,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,8,"AD Horst,Netherland",ENVIGO,T103739-T,Bayer AG,ACUTE,Acute,WISTAR HAN,Oral by Gavage,,WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
292,7,2018-03-06,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,MONKEY,4,,COVANCE,T103839-4,Bayer AG,SUBACUTE,Subacute,CYNOMOLGUS,Oral by Gavage,P8D,ETHANOL/KOLLIPHORHS15/WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
301,,2019-04-17,N,N,SINGLE HOUSED,,M,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,10,"Sulzfeld,Germany",CHARLES RIVER,Parameter Test-W,Bayer AG,SUBACUTE,Subacute,WISTAR,Oral by Gavage,,,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
311,28,2018-01-16,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2019-03-29,SEND Implementation Guide Version 3.0,RAT,126,"Sulzfeld,Germany",CHARLES RIVER,T103678-5,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,Oral by Gavage,"c(""P22D"", ""P30D"")",PVPVA/VITAMINE/ACETATBUFFER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
333,1,2019-05-27,N,N,SINGLE HOUSED,"c(""Oral"", ""Orally by gavage"")",BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,DOG,8,"Borchen,Germany",HARLAN WINKELMANN,T104463-8,Bayer AG,ACUTE,Acute,BEAGLE,Oral by Gavage,,PEG400,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
363,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,null,NULL,NULL,Oral by Gavage,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL
370,1,2018-10-25,N,N,GROUP HOUSED,INTRAVENOUS,F,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,20,"AD Horst,Netherland",ENVIGO,T104211-9,Bayer AG,SINGLE DOSE,Single Dose,WISTAR HAN,i.v.,,PEG400,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
371,1,2018-06-04,N,N,SINGLE HOUSED,ORAL GAVAGE,M,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,41,"AD Horst,Netherland",ENVIGO,T103994-6,Bayer AG,ACUTE,Acute,WISTAR WU,Oral by Gavage,,PEG400,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
372,28,2019-10-07,N,N,GROUP HOUSED,INHALATION,M,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,12,"AD Horst,Netherland",ENVIGO,T123456-7,Bayer AG,ACUTE,Acute,WISTAR WU,NULL,,AIR,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
383,,2019-11-18,N,N,GROUP HOUSED,"c(""i.v."", ""Orally by gavage"")",BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,18,"Sulzfeld,Germany",CHARLES RIVER,TS-1-IL,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,Oral by Gavage,,0.9% SALINE SOLUTION,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
385,,2018-07-17,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,DOG,6,"Lyon Cedex 02,France",MARSHALL,T104071-3_NEU,Bayer AG,SUBACUTE,Subacute,BEAGLE,Oral by Gavage,P100D,PEG400,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
391,,2019-11-25,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,4,"Sulzfeld,Germany",CHARLES RIVER,T765432-1,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,Oral by Gavage,,0.9% SALINE SOLUTION,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
403,91,2018-10-04,Y,Y,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,DOG,24,"Lyon Cedex 02,France",MARSHALL,T104162-4,Bayer AG,SUBCHRONIC,Subchronic,BEAGLE,Oral by Gavage,P92D,PEG400,Development DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
431,,2019-06-24,N,N,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,DOG,8,"Lyon Cedex 02,France",MARSHALL,T104448-N,Bayer AG,ACUTE,Acute,BEAGLE,Oral by Gavage,,PEG400,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
434,728,2015-10-12,,"c(""MHRA"", ""OECD"")",GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2019-06-28,SEND IMPLEMENTATION GUIDE VERSION 3.0,RAT,750,"Bicester, UK",HARLAN,T102253-3,Bayer Pharma AG,carcinogenicity,TOX,WISTAR HAN,NULL,P105W,WATER,"Otley Road, Harrogate, North Yorkshire, HG3 1PY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2015,ANESTHETIZED EXSANGUINATION
437,,,,,,,,SEND Terminology 2017-12-22,,,,,,,,,,,NULL,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
452,273,2018-11-12,,"c(""MHRA"", ""OCED"")",GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND IMPLEMENTATION GUIDE VERSION 3.0,DOG,32,"Grimston, UK",MARSHALL,T104164-6,Bayer AG,REPEAT DOSE,TOX,BEAGLE,NULL,P40W,PEG400,"Otley Road, Harrogate, North Yorkshire, HG3 1PY",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,LETHAL INJECTION INTRAVENOUS
461,1,2018-08-28,N,N,GROUP HOUSED,ORAL,F,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,12,"Sulzfeld,Germany",CHARLES RIVER,T104178-1,Bayer AG,SINGLE DOSE,Single Dose,WISTAR HAN,Oral by Gavage,P2D,ETHANOL/KOLLIPHORHS15/WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
462,,2019-10-21,N,N,GROUP HOUSED,ORAL GAVAGE,M,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,3,"Ödåkra-Väla,Sweden",IKEA,T211019-4,Bayer AG,SINGLE DOSE,Single Dose,PLUSH,Oral by Gavage,P1D,WATERfI,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2019,
463,,2010-04-08,N,N,GROUP HOUSED,ORAL,M,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,34,"AD Horst,Netherland",HARLAN,10-E-055,Bayer AG,SINGLE DOSE,Single Dose,SPRAGUE-DAWLEY,CP,P100D,VEHICLE,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2010,
472,,,N,N,,"c(""Oral"", ""Orally by gavage"")",,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,,,,,Zum Üben,,,,,,P1D,BENZYLBENZOAT/CASTEROIL1+4,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
481,28,2018-06-05,N,N,GROUP HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,RAT,150,"Sulzfeld,Germany",CHARLES RIVER,T103925-0,Bayer AG,SUBACUTE,Subacute,WISTAR HAN,Oral by Gavage,"c(""P22D"", ""P30D"")",ETHANOL/KOLLIPHORHS15/WATER,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
491,28,2018-03-13,Y,Y,SINGLE HOUSED,ORAL GAVAGE,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,DOG,26,"Lyon Cedex 02,France",MARSHALL,T103845-1,Bayer AG,SUBACUTE,Subacute,BEAGLE,Oral by Gavage,P29D,PEG400,Development-DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2018,
511,14,2014-01-14,N,N,SINGLE HOUSED,INTRAVENOUS,BOTH,SEND Terminology 2017-12-22,SEND Implementation Guide Version 3.0,MONKEY,8,"CD Tilburg,Netherlands",R.C. HARTELUST B.V.,T101113-7,Bayer AG,SUBACUTE,Subacute,CYNOMOLGUS,infusion,P15D,OMP-CONTROLARTICLEPLACEBO,Development DB,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2014,
