USUBJID,STUDYID,DOSDUR,ROUTE,LBTEST,LBTESTCD,LBCAT,LBORRES,LBORRESU,LBMETHOD,LBSPEC,SEX,INITBW,BWORRESU,SPECIES,STRAIN,TRTV,START_YEAR,AGE,ANESTHETICS
T100495-9-0003,T100495-9,13 week,ORAL GAVAGE,Sodium,SODIUM,CLINICAL CHEMISTRY,146,mmol/l,iBroker:Na,SERUM,M,178,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0003,T100495-9,13 week,ORAL GAVAGE,Calcium,CA,CLINICAL CHEMISTRY,2.92,mmol/l,iBroker:Ca,SERUM,M,178,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0003,T100495-9,13 week,ORAL GAVAGE,Potassium,K,CLINICAL CHEMISTRY,6.9,mmol/l,iBroker:K,SERUM,M,178,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0004,T100495-9,13 week,ORAL GAVAGE,Potassium,K,CLINICAL CHEMISTRY,6.1,mmol/l,iBroker:K,SERUM,M,167,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0004,T100495-9,13 week,ORAL GAVAGE,Calcium,CA,CLINICAL CHEMISTRY,2.95,mmol/l,iBroker:Ca,SERUM,M,167,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0004,T100495-9,13 week,ORAL GAVAGE,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,167,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0005,T100495-9,13 week,ORAL GAVAGE,Potassium,K,CLINICAL CHEMISTRY,6.4,mmol/l,iBroker:K,SERUM,M,186,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0005,T100495-9,13 week,ORAL GAVAGE,Calcium,CA,CLINICAL CHEMISTRY,3.01,mmol/l,iBroker:Ca,SERUM,M,186,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0005,T100495-9,13 week,ORAL GAVAGE,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,186,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0006,T100495-9,13 week,ORAL GAVAGE,Potassium,K,CLINICAL CHEMISTRY,6.2,mmol/l,iBroker:K,SERUM,M,181,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0006,T100495-9,13 week,ORAL GAVAGE,Calcium,CA,CLINICAL CHEMISTRY,2.96,mmol/l,iBroker:Ca,SERUM,M,181,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0006,T100495-9,13 week,ORAL GAVAGE,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,181,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0007,T100495-9,13 week,ORAL GAVAGE,Calcium,CA,CLINICAL CHEMISTRY,3,mmol/l,iBroker:Ca,SERUM,M,183,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0007,T100495-9,13 week,ORAL GAVAGE,Potassium,K,CLINICAL CHEMISTRY,5.9,mmol/l,iBroker:K,SERUM,M,183,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0007,T100495-9,13 week,ORAL GAVAGE,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,183,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0008,T100495-9,13 week,ORAL GAVAGE,Sodium,SODIUM,CLINICAL CHEMISTRY,146,mmol/l,iBroker:Na,SERUM,M,178,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0008,T100495-9,13 week,ORAL GAVAGE,Potassium,K,CLINICAL CHEMISTRY,7,mmol/l,iBroker:K,SERUM,M,178,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0008,T100495-9,13 week,ORAL GAVAGE,Calcium,CA,CLINICAL CHEMISTRY,2.97,mmol/l,iBroker:Ca,SERUM,M,178,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0009,T100495-9,13 week,ORAL GAVAGE,Calcium,CA,CLINICAL CHEMISTRY,2.98,mmol/l,iBroker:Ca,SERUM,M,168,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0009,T100495-9,13 week,ORAL GAVAGE,Potassium,K,CLINICAL CHEMISTRY,6.9,mmol/l,iBroker:K,SERUM,M,168,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0009,T100495-9,13 week,ORAL GAVAGE,Sodium,SODIUM,CLINICAL CHEMISTRY,144,mmol/l,iBroker:Na,SERUM,M,168,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0010,T100495-9,13 week,ORAL GAVAGE,Potassium,K,CLINICAL CHEMISTRY,6.5,mmol/l,iBroker:K,SERUM,M,174,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0010,T100495-9,13 week,ORAL GAVAGE,Calcium,CA,CLINICAL CHEMISTRY,2.94,mmol/l,iBroker:Ca,SERUM,M,174,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100495-9-0010,T100495-9,13 week,ORAL GAVAGE,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,174,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0011,T100512-9,26 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.79,mmol/l,iBroker:Ca,SERUM,M,199,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0011,T100512-9,26 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,199,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0011,T100512-9,26 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,6.1,mmol/l,iBroker:K,SERUM,M,199,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0012,T100512-9,26 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,194,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0012,T100512-9,26 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.97,mmol/l,iBroker:Ca,SERUM,M,194,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0012,T100512-9,26 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,5.8,mmol/l,iBroker:K,SERUM,M,194,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0013,T100512-9,26 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,6.1,mmol/l,iBroker:K,SERUM,M,190,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0013,T100512-9,26 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,145,mmol/l,iBroker:Na,SERUM,M,190,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0013,T100512-9,26 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,3.02,mmol/l,iBroker:Ca,SERUM,M,190,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0014,T100512-9,26 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.94,mmol/l,iBroker:Ca,SERUM,M,191,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0014,T100512-9,26 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,191,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0014,T100512-9,26 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,6.4,mmol/l,iBroker:K,SERUM,M,191,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0015,T100512-9,26 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,188,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0015,T100512-9,26 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.84,mmol/l,iBroker:Ca,SERUM,M,188,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0015,T100512-9,26 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,6,mmol/l,iBroker:K,SERUM,M,188,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0016,T100512-9,26 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.98,mmol/l,iBroker:Ca,SERUM,M,190,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0016,T100512-9,26 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,5.7,mmol/l,iBroker:K,SERUM,M,190,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0016,T100512-9,26 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,148,mmol/l,iBroker:Na,SERUM,M,190,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0017,T100512-9,26 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,145,mmol/l,iBroker:Na,SERUM,M,181,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0017,T100512-9,26 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,6.2,mmol/l,iBroker:K,SERUM,M,181,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0017,T100512-9,26 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.8,mmol/l,iBroker:Ca,SERUM,M,181,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0018,T100512-9,26 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,6.2,mmol/l,iBroker:K,SERUM,M,191,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0018,T100512-9,26 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,144,mmol/l,iBroker:Na,SERUM,M,191,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0018,T100512-9,26 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.87,mmol/l,iBroker:Ca,SERUM,M,191,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0019,T100512-9,26 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,146,mmol/l,iBroker:Na,SERUM,M,190,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0019,T100512-9,26 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.77,mmol/l,iBroker:Ca,SERUM,M,190,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0019,T100512-9,26 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,5.7,mmol/l,iBroker:K,SERUM,M,190,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0020,T100512-9,26 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,189,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0020,T100512-9,26 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,6,mmol/l,iBroker:K,SERUM,M,189,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100512-9-0020,T100512-9,26 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.83,mmol/l,iBroker:Ca,SERUM,M,189,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,8,CO2/air
T100541-1-0001,T100541-1,4 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.72,mmol/l,iBroker:Ca,SERUM,M,189,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0001,T100541-1,4 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,152,mmol/l,iBroker:Na,SERUM,M,189,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0001,T100541-1,4 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,6.7,mmol/l,iBroker:K,SERUM,M,189,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0002,T100541-1,4 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,6.5,mmol/l,iBroker:K,SERUM,M,166,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0002,T100541-1,4 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.88,mmol/l,iBroker:Ca,SERUM,M,166,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0002,T100541-1,4 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,148,mmol/l,iBroker:Na,SERUM,M,166,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0003,T100541-1,4 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.86,mmol/l,iBroker:Ca,SERUM,M,167,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0003,T100541-1,4 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,6.4,mmol/l,iBroker:K,SERUM,M,167,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0003,T100541-1,4 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,150,mmol/l,iBroker:Na,SERUM,M,167,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0004,T100541-1,4 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,6.8,mmol/l,iBroker:K,SERUM,M,161,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0004,T100541-1,4 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,3.06,mmol/l,iBroker:Ca,SERUM,M,161,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0004,T100541-1,4 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,147,mmol/l,iBroker:Na,SERUM,M,161,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0005,T100541-1,4 week,INTRAGASTRIC,Sodium,SODIUM,CLINICAL CHEMISTRY,148,mmol/l,iBroker:Na,SERUM,M,165,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0005,T100541-1,4 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.81,mmol/l,iBroker:Ca,SERUM,M,165,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0005,T100541-1,4 week,INTRAGASTRIC,Potassium,K,CLINICAL CHEMISTRY,7,mmol/l,iBroker:K,SERUM,M,165,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
T100541-1-0006,T100541-1,4 week,INTRAGASTRIC,Calcium,CA,CLINICAL CHEMISTRY,2.92,mmol/l,iBroker:Ca,SERUM,M,179,g,RAT,WISTAR HAN,ETHANOL/KOLLIPHORHS15/WATER,2013,6,CO2/air
