SPREFID,USUBJID,BWORRES,BWORRESU,BWDY,trial_set_description,SEX
T105017-4,T105017-4-0033,283,g,18,Dose group 2,M
T105017-4,T105017-4-0033,237,g,5,Dose group 2,M
T105017-4,T105017-4-0033,269,g,14,Dose group 2,M
T105017-4,T105017-4-0033,293,g,24,Dose group 2,M
T105017-4,T105017-4-0033,217,g,1,Dose group 2,M
T105017-4,T105017-4-0033,258,g,10,Dose group 2,M
T105017-4,T105017-4-0033,287,g,19,Dose group 2,M
T105017-4,T105017-4-0033,292,g,25,Dose group 2,M
T105017-4,T105017-4-0033,244,g,6,Dose group 2,M
T105017-4,T105017-4-0033,274,g,15,Dose group 2,M
T105017-4,T105017-4-0033,222,g,2,Dose group 2,M
T105017-4,T105017-4-0033,295,g,26,Dose group 2,M
T105017-4,T105017-4-0033,262,g,11,Dose group 2,M
T105017-4,T105017-4-0033,250,g,7,Dose group 2,M
T105017-4,T105017-4-0076,235,g,27,Dose group 1,F
T105017-4,T105017-4-0076,218,g,12,Dose group 1,F
T105017-4,T105017-4-0076,196,g,3,Dose group 1,F
T105017-4,T105017-4-0076,216,g,17,Dose group 1,F
T105017-4,T105017-4-0076,225,g,21,Dose group 1,F
T105017-4,T105017-4-0076,209,g,8,Dose group 1,F
T105017-4,T105017-4-0076,237,g,28,Dose group 1,F
T105017-4,T105017-4-0076,201,g,4,Dose group 1,F
T105017-4,T105017-4-0076,231,g,22,Dose group 1,F
T105017-4,T105017-4-0076,210,g,13,Dose group 1,F
T105017-4,T105017-4-0076,231,g,29,Dose group 1,F
T105017-4,T105017-4-0076,204,g,9,Dose group 1,F
T105017-4,T105017-4-0076,226,g,18,Dose group 1,F
T105017-4,T105017-4-0076,226,g,23,Dose group 1,F
T105017-4,T105017-4-0076,182,g,-6,Dose group 1,F
T105017-4,T105017-4-0076,197,g,5,Dose group 1,F
T105017-4,T105017-4-0076,217,g,14,Dose group 1,F
T105017-4,T105017-4-0076,228,g,24,Dose group 1,F
T105017-4,T105017-4-0076,190,g,1,Dose group 1,F
T105017-4,T105017-4-0076,214,g,10,Dose group 1,F
T105017-4,T105017-4-0076,227,g,19,Dose group 1,F
T105017-4,T105017-4-0076,204,g,6,Dose group 1,F
T105017-4,T105017-4-0076,225,g,25,Dose group 1,F
T105017-4,T105017-4-0076,223,g,15,Dose group 1,F
T105017-4,T105017-4-0076,196,g,2,Dose group 1,F
T105017-4,T105017-4-0076,214,g,11,Dose group 1,F
T105017-4,T105017-4-0076,232,g,26,Dose group 1,F
T105017-4,T105017-4-0076,224,g,20,Dose group 1,F
T105017-4,T105017-4-0076,208,g,7,Dose group 1,F
T105017-4,T105017-4-0076,222,g,16,Dose group 1,F
T105017-4,T105017-4-0079,216,g,27,Dose group 1,F
T105017-4,T105017-4-0079,192,g,12,Dose group 1,F
T105017-4,T105017-4-0079,185,g,3,Dose group 1,F
T105017-4,T105017-4-0079,213,g,21,Dose group 1,F
T105017-4,T105017-4-0079,181,g,8,Dose group 1,F
T105017-4,T105017-4-0079,205,g,17,Dose group 1,F
T105017-4,T105017-4-0079,210,g,28,Dose group 1,F
T105017-4,T105017-4-0079,175,g,4,Dose group 1,F
T105017-4,T105017-4-0079,212,g,22,Dose group 1,F
T105017-4,T105017-4-0079,201,g,13,Dose group 1,F
T105017-4,T105017-4-0079,218,g,29,Dose group 1,F
T105017-4,T105017-4-0079,195,g,9,Dose group 1,F
T105017-4,T105017-4-0079,211,g,18,Dose group 1,F
T105017-4,T105017-4-0079,205,g,23,Dose group 1,F
T105017-4,T105017-4-0079,224,g,30,Dose group 1,F
T105017-4,T105017-4-0079,169,g,-6,Dose group 1,F
T105017-4,T105017-4-0079,187,g,5,Dose group 1,F
T105017-4,T105017-4-0079,202,g,14,Dose group 1,F
T105017-4,T105017-4-0079,204,g,24,Dose group 1,F
T105017-4,T105017-4-0079,181,g,1,Dose group 1,F
T105017-4,T105017-4-0079,196,g,10,Dose group 1,F
T105017-4,T105017-4-0079,211,g,19,Dose group 1,F
T105017-4,T105017-4-0079,214,g,25,Dose group 1,F
T105017-4,T105017-4-0079,188,g,6,Dose group 1,F
T105017-4,T105017-4-0079,200,g,15,Dose group 1,F
T105017-4,T105017-4-0079,184,g,2,Dose group 1,F
T105017-4,T105017-4-0079,197,g,11,Dose group 1,F
T105017-4,T105017-4-0079,210,g,26,Dose group 1,F
T105017-4,T105017-4-0079,202,g,20,Dose group 1,F
T105017-4,T105017-4-0079,190,g,7,Dose group 1,F
T105017-4,T105017-4-0079,196,g,16,Dose group 1,F
T105017-4,T105017-4-0108,205,g,20,Dose group 3,F
T105017-4,T105017-4-0108,190,g,7,Dose group 3,F
T105017-4,T105017-4-0108,201,g,16,Dose group 3,F
T105017-4,T105017-4-0108,217,g,27,Dose group 3,F
T105017-4,T105017-4-0108,211,g,21,Dose group 3,F
T105017-4,T105017-4-0108,190,g,3,Dose group 3,F
T105017-4,T105017-4-0108,196,g,12,Dose group 3,F
T105017-4,T105017-4-0108,212,g,17,Dose group 3,F
T105017-4,T105017-4-0108,213,g,28,Dose group 3,F
T105017-4,T105017-4-0108,191,g,8,Dose group 3,F
T105017-4,T105017-4-0108,208,g,22,Dose group 3,F
T105017-4,T105017-4-0108,181,g,4,Dose group 3,F
T105017-4,T105017-4-0108,203,g,13,Dose group 3,F
T105017-4,T105017-4-0108,216,g,29,Dose group 3,F
T105017-4,T105017-4-0108,173,g,-6,Dose group 3,F
T105017-4,T105017-4-0108,206,g,23,Dose group 3,F
T105017-4,T105017-4-0108,194,g,9,Dose group 3,F
T105017-4,T105017-4-0108,208,g,18,Dose group 3,F
T105017-4,T105017-4-0108,208,g,24,Dose group 3,F
T105017-4,T105017-4-0108,193,g,5,Dose group 3,F
T105017-4,T105017-4-0108,208,g,14,Dose group 3,F
T105017-4,T105017-4-0108,188,g,1,Dose group 3,F
T105017-4,T105017-4-0108,199,g,10,Dose group 3,F
T105017-4,T105017-4-0108,213,g,19,Dose group 3,F
T105017-4,T105017-4-0108,211,g,25,Dose group 3,F
T105017-4,T105017-4-0108,191,g,6,Dose group 3,F
T105017-4,T105017-4-0108,192,g,2,Dose group 3,F
T105017-4,T105017-4-0108,208,g,15,Dose group 3,F
T105017-4,T105017-4-0108,210,g,26,Dose group 3,F
T105017-4,T105017-4-0108,196,g,11,Dose group 3,F
T105017-4,T105017-4-0015,330,g,27,Dose group 1,M
T105017-4,T105017-4-0015,277,g,12,Dose group 1,M
T105017-4,T105017-4-0015,317,g,21,Dose group 1,M
T105017-4,T105017-4-0015,228,g,3,Dose group 1,M
T105017-4,T105017-4-0015,255,g,8,Dose group 1,M
T105017-4,T105017-4-0015,294,g,17,Dose group 1,M
T105017-4,T105017-4-0015,330,g,28,Dose group 1,M
T105017-4,T105017-4-0015,233,g,4,Dose group 1,M
T105017-4,T105017-4-0015,280,g,13,Dose group 1,M
T105017-4,T105017-4-0015,307,g,22,Dose group 1,M
T105017-4,T105017-4-0015,337,g,29,Dose group 1,M
T105017-4,T105017-4-0015,179,g,-6,Dose group 1,M
T105017-4,T105017-4-0015,261,g,9,Dose group 1,M
T105017-4,T105017-4-0015,303,g,18,Dose group 1,M
T105017-4,T105017-4-0015,315,g,23,Dose group 1,M
T105017-4,T105017-4-0015,235,g,5,Dose group 1,M
T105017-4,T105017-4-0015,283,g,14,Dose group 1,M
T105017-4,T105017-4-0015,318,g,24,Dose group 1,M
T105017-4,T105017-4-0015,219,g,1,Dose group 1,M
T105017-4,T105017-4-0015,265,g,10,Dose group 1,M
T105017-4,T105017-4-0015,307,g,19,Dose group 1,M
T105017-4,T105017-4-0015,326,g,25,Dose group 1,M
T105017-4,T105017-4-0015,243,g,6,Dose group 1,M
T105017-4,T105017-4-0015,287,g,15,Dose group 1,M
T105017-4,T105017-4-0015,222,g,2,Dose group 1,M
T105017-4,T105017-4-0015,267,g,11,Dose group 1,M
T105017-4,T105017-4-0015,305,g,20,Dose group 1,M
T105017-4,T105017-4-0015,324,g,26,Dose group 1,M
T105017-4,T105017-4-0015,250,g,7,Dose group 1,M
T105017-4,T105017-4-0015,291,g,16,Dose group 1,M
T105017-4,T105017-4-0068,164,g,3,Control,F
T105017-4,T105017-4-0068,187,g,12,Control,F
T105017-4,T105017-4-0068,197,g,27,Control,F
T105017-4,T105017-4-0068,196,g,21,Control,F
T105017-4,T105017-4-0068,175,g,8,Control,F
T105017-4,T105017-4-0068,195,g,17,Control,F
T105017-4,T105017-4-0068,201,g,28,Control,F
T105017-4,T105017-4-0068,170,g,4,Control,F
T105017-4,T105017-4-0068,199,g,22,Control,F
T105017-4,T105017-4-0068,186,g,13,Control,F
T105017-4,T105017-4-0068,182,g,9,Control,F
T105017-4,T105017-4-0068,193,g,18,Control,F
T105017-4,T105017-4-0068,205,g,29,Control,F
T105017-4,T105017-4-0068,190,g,23,Control,F
T105017-4,T105017-4-0068,203,g,30,Control,F
T105017-4,T105017-4-0068,157,g,-6,Control,F
T105017-4,T105017-4-0068,174,g,5,Control,F
T105017-4,T105017-4-0068,188,g,14,Control,F
T105017-4,T105017-4-0068,198,g,24,Control,F
T105017-4,T105017-4-0068,171,g,1,Control,F
T105017-4,T105017-4-0068,179,g,10,Control,F
T105017-4,T105017-4-0068,186,g,19,Control,F
T105017-4,T105017-4-0068,201,g,25,Control,F
T105017-4,T105017-4-0068,177,g,6,Control,F
T105017-4,T105017-4-0068,183,g,15,Control,F
T105017-4,T105017-4-0068,171,g,2,Control,F
T105017-4,T105017-4-0068,176,g,11,Control,F
T105017-4,T105017-4-0068,194,g,20,Control,F
T105017-4,T105017-4-0068,198,g,26,Control,F
T105017-4,T105017-4-0068,168,g,7,Control,F
T105017-4,T105017-4-0068,191,g,16,Control,F
T105017-4,T105017-4-0083,178,g,3,Dose group 1,F
T105017-4,T105017-4-0083,203,g,27,Dose group 1,F
T105017-4,T105017-4-0083,185,g,12,Dose group 1,F
T105017-4,T105017-4-0083,193,g,21,Dose group 1,F
T105017-4,T105017-4-0083,179,g,8,Dose group 1,F
T105017-4,T105017-4-0083,185,g,17,Dose group 1,F
T105017-4,T105017-4-0083,202,g,28,Dose group 1,F
T105017-4,T105017-4-0083,172,g,4,Dose group 1,F
T105017-4,T105017-4-0083,195,g,22,Dose group 1,F
T105017-4,T105017-4-0083,179,g,13,Dose group 1,F
T105017-4,T105017-4-0083,199,g,29,Dose group 1,F
T105017-4,T105017-4-0083,159,g,-6,Dose group 1,F
T105017-4,T105017-4-0083,173,g,9,Dose group 1,F
T105017-4,T105017-4-0083,194,g,23,Dose group 1,F
T105017-4,T105017-4-0083,190,g,18,Dose group 1,F
T105017-4,T105017-4-0083,207,g,30,Dose group 1,F
T105017-4,T105017-4-0083,168,g,5,Dose group 1,F
T105017-4,T105017-4-0083,187,g,14,Dose group 1,F
T105017-4,T105017-4-0083,196,g,24,Dose group 1,F
T105017-4,T105017-4-0083,164,g,1,Dose group 1,F
T105017-4,T105017-4-0083,181,g,10,Dose group 1,F
T105017-4,T105017-4-0083,195,g,19,Dose group 1,F
T105017-4,T105017-4-0083,195,g,25,Dose group 1,F
T105017-4,T105017-4-0083,177,g,6,Dose group 1,F
T105017-4,T105017-4-0083,190,g,15,Dose group 1,F
T105017-4,T105017-4-0083,168,g,2,Dose group 1,F
T105017-4,T105017-4-0083,199,g,26,Dose group 1,F
T105017-4,T105017-4-0083,186,g,11,Dose group 1,F
T105017-4,T105017-4-0083,193,g,20,Dose group 1,F
T105017-4,T105017-4-0083,178,g,7,Dose group 1,F
T105017-4,T105017-4-0083,187,g,16,Dose group 1,F
T105017-4,T105017-4-0005,272,g,12,Control,M
T105017-4,T105017-4-0005,323,g,27,Control,M
T105017-4,T105017-4-0005,258,g,8,Control,M
T105017-4,T105017-4-0005,309,g,21,Control,M
T105017-4,T105017-4-0005,235,g,3,Control,M
T105017-4,T105017-4-0005,293,g,17,Control,M
T105017-4,T105017-4-0005,319,g,28,Control,M
T105017-4,T105017-4-0005,240,g,4,Control,M
T105017-4,T105017-4-0005,280,g,13,Control,M
T105017-4,T105017-4-0005,304,g,22,Control,M
T105017-4,T105017-4-0005,329,g,29,Control,M
T105017-4,T105017-4-0005,182,g,-6,Control,M
T105017-4,T105017-4-0005,260,g,9,Control,M
T105017-4,T105017-4-0005,297,g,18,Control,M
T105017-4,T105017-4-0005,309,g,23,Control,M
T105017-4,T105017-4-0005,249,g,5,Control,M
T105017-4,T105017-4-0005,281,g,14,Control,M
T105017-4,T105017-4-0005,267,g,10,Control,M
T105017-4,T105017-4-0005,308,g,24,Control,M
T105017-4,T105017-4-0005,227,g,1,Control,M
T105017-4,T105017-4-0005,303,g,19,Control,M
T105017-4,T105017-4-0005,254,g,6,Control,M
T105017-4,T105017-4-0005,282,g,15,Control,M
T105017-4,T105017-4-0005,313,g,25,Control,M
T105017-4,T105017-4-0005,236,g,2,Control,M
T105017-4,T105017-4-0005,274,g,11,Control,M
T105017-4,T105017-4-0005,307,g,20,Control,M
T105017-4,T105017-4-0005,315,g,26,Control,M
T105017-4,T105017-4-0005,254,g,7,Control,M
T105017-4,T105017-4-0005,286,g,16,Control,M
T105017-4,T105017-4-0009,281,g,12,Control,M
T105017-4,T105017-4-0009,332,g,27,Control,M
T105017-4,T105017-4-0009,259,g,8,Control,M
T105017-4,T105017-4-0009,317,g,21,Control,M
T105017-4,T105017-4-0009,296,g,17,Control,M
T105017-4,T105017-4-0009,325,g,28,Control,M
T105017-4,T105017-4-0009,235,g,4,Control,M
T105017-4,T105017-4-0009,281,g,13,Control,M
T105017-4,T105017-4-0009,304,g,22,Control,M
T105017-4,T105017-4-0009,263,g,9,Control,M
T105017-4,T105017-4-0009,307,g,18,Control,M
T105017-4,T105017-4-0009,313,g,23,Control,M
T105017-4,T105017-4-0009,339,g,29,Control,M
T105017-4,T105017-4-0009,188,g,-6,Control,M
T105017-4,T105017-4-0009,243,g,5,Control,M
T105017-4,T105017-4-0009,287,g,14,Control,M
T105017-4,T105017-4-0009,319,g,24,Control,M
T105017-4,T105017-4-0009,220,g,1,Control,M
T105017-4,T105017-4-0009,268,g,10,Control,M
T105017-4,T105017-4-0009,313,g,19,Control,M
T105017-4,T105017-4-0009,250,g,6,Control,M
T105017-4,T105017-4-0009,325,g,25,Control,M
T105017-4,T105017-4-0009,296,g,15,Control,M
T105017-4,T105017-4-0009,222,g,2,Control,M
T105017-4,T105017-4-0009,274,g,11,Control,M
T105017-4,T105017-4-0009,318,g,26,Control,M
T105017-4,T105017-4-0009,307,g,20,Control,M
T105017-4,T105017-4-0009,255,g,7,Control,M
T105017-4,T105017-4-0009,290,g,16,Control,M
T105017-4,T105017-4-0009,235,g,3,Control,M
T105017-4,T105017-4-0069,188,g,3,Control,F
T105017-4,T105017-4-0069,207,g,12,Control,F
T105017-4,T105017-4-0069,230,g,27,Control,F
T105017-4,T105017-4-0069,225,g,21,Control,F
T105017-4,T105017-4-0069,198,g,8,Control,F
T105017-4,T105017-4-0069,216,g,17,Control,F
T105017-4,T105017-4-0069,228,g,28,Control,F
T105017-4,T105017-4-0069,189,g,4,Control,F
T105017-4,T105017-4-0069,217,g,22,Control,F
T105017-4,T105017-4-0069,207,g,13,Control,F
T105017-4,T105017-4-0069,205,g,9,Control,F
T105017-4,T105017-4-0069,215,g,18,Control,F
T105017-4,T105017-4-0069,230,g,29,Control,F
T105017-4,T105017-4-0069,214,g,23,Control,F
T105017-4,T105017-4-0069,226,g,30,Control,F
T105017-4,T105017-4-0069,165,g,-6,Control,F
T105017-4,T105017-4-0069,189,g,5,Control,F
T105017-4,T105017-4-0069,206,g,14,Control,F
T105017-4,T105017-4-0069,222,g,24,Control,F
T105017-4,T105017-4-0069,198,g,10,Control,F
T105017-4,T105017-4-0069,218,g,19,Control,F
T105017-4,T105017-4-0069,226,g,25,Control,F
T105017-4,T105017-4-0069,185,g,6,Control,F
T105017-4,T105017-4-0069,213,g,15,Control,F
T105017-4,T105017-4-0069,198,g,1,Control,F
T105017-4,T105017-4-0069,183,g,2,Control,F
T105017-4,T105017-4-0069,201,g,11,Control,F
T105017-4,T105017-4-0069,219,g,20,Control,F
T105017-4,T105017-4-0069,219,g,26,Control,F
T105017-4,T105017-4-0069,195,g,7,Control,F
T105017-4,T105017-4-0069,216,g,16,Control,F
T105017-4,T105017-4-0095,196,g,7,Dose group 2,F
T105017-4,T105017-4-0095,207,g,16,Dose group 2,F
T105017-4,T105017-4-0095,212,g,20,Dose group 2,F
T105017-4,T105017-4-0095,219,g,27,Dose group 2,F
T105017-4,T105017-4-0095,200,g,12,Dose group 2,F
T105017-4,T105017-4-0095,218,g,21,Dose group 2,F
T105017-4,T105017-4-0095,189,g,3,Dose group 2,F
T105017-4,T105017-4-0095,192,g,8,Dose group 2,F
T105017-4,T105017-4-0095,215,g,28,Dose group 2,F
T105017-4,T105017-4-0095,211,g,17,Dose group 2,F
T105017-4,T105017-4-0095,182,g,4,Dose group 2,F
T105017-4,T105017-4-0095,217,g,22,Dose group 2,F
T105017-4,T105017-4-0095,208,g,13,Dose group 2,F
T105017-4,T105017-4-0095,226,g,29,Dose group 2,F
T105017-4,T105017-4-0095,173,g,-6,Dose group 2,F
T105017-4,T105017-4-0095,198,g,9,Dose group 2,F
T105017-4,T105017-4-0095,217,g,18,Dose group 2,F
T105017-4,T105017-4-0095,215,g,23,Dose group 2,F
T105017-4,T105017-4-0095,228,g,30,Dose group 2,F
T105017-4,T105017-4-0095,191,g,5,Dose group 2,F
T105017-4,T105017-4-0095,209,g,14,Dose group 2,F
T105017-4,T105017-4-0095,213,g,24,Dose group 2,F
T105017-4,T105017-4-0095,189,g,1,Dose group 2,F
T105017-4,T105017-4-0095,203,g,10,Dose group 2,F
T105017-4,T105017-4-0095,219,g,19,Dose group 2,F
T105017-4,T105017-4-0095,221,g,25,Dose group 2,F
T105017-4,T105017-4-0095,195,g,6,Dose group 2,F
T105017-4,T105017-4-0095,212,g,15,Dose group 2,F
T105017-4,T105017-4-0095,185,g,2,Dose group 2,F
T105017-4,T105017-4-0095,205,g,11,Dose group 2,F
T105017-4,T105017-4-0095,224,g,26,Dose group 2,F
T105017-4,T105017-4-0097,195,g,7,Dose group 2,F
T105017-4,T105017-4-0097,199,g,16,Dose group 2,F
T105017-4,T105017-4-0097,204,g,20,Dose group 2,F
T105017-4,T105017-4-0097,188,g,3,Dose group 2,F
T105017-4,T105017-4-0097,217,g,27,Dose group 2,F
T105017-4,T105017-4-0097,196,g,12,Dose group 2,F
T105017-4,T105017-4-0097,211,g,21,Dose group 2,F
T105017-4,T105017-4-0097,190,g,8,Dose group 2,F
T105017-4,T105017-4-0097,212,g,28,Dose group 2,F
T105017-4,T105017-4-0097,203,g,17,Dose group 2,F
T105017-4,T105017-4-0097,180,g,4,Dose group 2,F
T105017-4,T105017-4-0097,217,g,22,Dose group 2,F
T105017-4,T105017-4-0097,201,g,13,Dose group 2,F
T105017-4,T105017-4-0097,220,g,29,Dose group 2,F
T105017-4,T105017-4-0097,194,g,9,Dose group 2,F
T105017-4,T105017-4-0097,206,g,18,Dose group 2,F
T105017-4,T105017-4-0097,204,g,23,Dose group 2,F
T105017-4,T105017-4-0097,222,g,30,Dose group 2,F
T105017-4,T105017-4-0097,183,g,-6,Dose group 2,F
T105017-4,T105017-4-0097,191,g,5,Dose group 2,F
T105017-4,T105017-4-0097,204,g,14,Dose group 2,F
T105017-4,T105017-4-0097,204,g,24,Dose group 2,F
T105017-4,T105017-4-0097,190,g,1,Dose group 2,F
T105017-4,T105017-4-0097,199,g,10,Dose group 2,F
T105017-4,T105017-4-0097,209,g,19,Dose group 2,F
T105017-4,T105017-4-0097,210,g,25,Dose group 2,F
T105017-4,T105017-4-0097,208,g,15,Dose group 2,F
T105017-4,T105017-4-0097,190,g,2,Dose group 2,F
T105017-4,T105017-4-0097,193,g,6,Dose group 2,F
T105017-4,T105017-4-0097,202,g,11,Dose group 2,F
T105017-4,T105017-4-0097,215,g,26,Dose group 2,F
T105017-4,T105017-4-0020,210,g,3,Dose group 1,M
T105017-4,T105017-4-0020,302,g,27,Dose group 1,M
T105017-4,T105017-4-0020,256,g,12,Dose group 1,M
T105017-4,T105017-4-0020,287,g,21,Dose group 1,M
T105017-4,T105017-4-0020,233,g,8,Dose group 1,M
T105017-4,T105017-4-0020,281,g,17,Dose group 1,M
T105017-4,T105017-4-0020,302,g,28,Dose group 1,M
T105017-4,T105017-4-0020,212,g,4,Dose group 1,M
T105017-4,T105017-4-0020,258,g,13,Dose group 1,M
T105017-4,T105017-4-0020,276,g,22,Dose group 1,M
T105017-4,T105017-4-0020,306,g,29,Dose group 1,M
T105017-4,T105017-4-0020,158,g,-6,Dose group 1,M
T105017-4,T105017-4-0020,239,g,9,Dose group 1,M
T105017-4,T105017-4-0020,287,g,18,Dose group 1,M
T105017-4,T105017-4-0020,290,g,23,Dose group 1,M
T105017-4,T105017-4-0020,220,g,5,Dose group 1,M
T105017-4,T105017-4-0020,264,g,14,Dose group 1,M
T105017-4,T105017-4-0020,199,g,1,Dose group 1,M
T105017-4,T105017-4-0020,244,g,10,Dose group 1,M
T105017-4,T105017-4-0020,289,g,24,Dose group 1,M
T105017-4,T105017-4-0020,285,g,19,Dose group 1,M
T105017-4,T105017-4-0020,228,g,6,Dose group 1,M
T105017-4,T105017-4-0020,291,g,25,Dose group 1,M
T105017-4,T105017-4-0020,202,g,2,Dose group 1,M
T105017-4,T105017-4-0020,271,g,15,Dose group 1,M
T105017-4,T105017-4-0020,250,g,11,Dose group 1,M
T105017-4,T105017-4-0020,299,g,26,Dose group 1,M
T105017-4,T105017-4-0020,287,g,20,Dose group 1,M
T105017-4,T105017-4-0020,229,g,7,Dose group 1,M
T105017-4,T105017-4-0020,273,g,16,Dose group 1,M
T105017-4,T105017-4-0066,203,g,12,Control,F
T105017-4,T105017-4-0066,230,g,27,Control,F
T105017-4,T105017-4-0066,224,g,21,Control,F
T105017-4,T105017-4-0066,196,g,3,Control,F
T105017-4,T105017-4-0066,192,g,8,Control,F
T105017-4,T105017-4-0066,216,g,17,Control,F
T105017-4,T105017-4-0066,226,g,28,Control,F
T105017-4,T105017-4-0066,187,g,4,Control,F
T105017-4,T105017-4-0066,226,g,22,Control,F
T105017-4,T105017-4-0066,214,g,13,Control,F
T105017-4,T105017-4-0066,204,g,9,Control,F
T105017-4,T105017-4-0066,218,g,18,Control,F
T105017-4,T105017-4-0066,237,g,29,Control,F
T105017-4,T105017-4-0066,219,g,23,Control,F
T105017-4,T105017-4-0066,241,g,30,Control,F
T105017-4,T105017-4-0066,175,g,-6,Control,F
T105017-4,T105017-4-0066,198,g,5,Control,F
T105017-4,T105017-4-0066,216,g,14,Control,F
T105017-4,T105017-4-0066,213,g,24,Control,F
T105017-4,T105017-4-0066,189,g,1,Control,F
T105017-4,T105017-4-0066,208,g,10,Control,F
T105017-4,T105017-4-0066,221,g,19,Control,F
T105017-4,T105017-4-0066,224,g,25,Control,F
T105017-4,T105017-4-0066,200,g,6,Control,F
T105017-4,T105017-4-0066,216,g,15,Control,F
T105017-4,T105017-4-0066,190,g,2,Control,F
T105017-4,T105017-4-0066,210,g,11,Control,F
